glyph_name,ps_name,sort_final,USV
.notdef,.notdef,0,
.null,.null,1,
nonmarkingreturn,nonmarkingreturn,2,
space,space,3,0020
space.taml,space.taml,4,
exclam,exclam,5,0021
exclam.taml,exclam.taml,6,
quotedbl,quotedbl,7,0022
numbersign,numbersign,8,0023
dollar,dollar,9,0024
percent,percent,10,0025
percent.taml,percent.taml,11,
ampersand,ampersand,12,0026
ampersand.taml,ampersand.taml,13,
quotesingle,quotesingle,14,0027
parenleft,parenleft,15,0028
parenleft.taml,parenleft.taml,16,
parenright,parenright,17,0029
parenright.taml,parenright.taml,18,
asterisk,asterisk,19,002A
asterisk.taml,asterisk.taml,20,
plus,plus,21,002B
plus.taml,plus.taml,22,
comma,comma,23,002C
comma.taml,comma.taml,24,
hyphen,hyphen,25,002D
hyphen.taml,hyphen.taml,26,
period,period,27,002E
period.taml,period.taml,28,
slash,slash,29,002F
slash.taml,slash.taml,30,
zero,zero,31,0030
zero.taml,zero.taml,32,
one,one,33,0031
one.taml,one.taml,34,
two,two,35,0032
two.taml,two.taml,36,
three,three,37,0033
three.taml,three.taml,38,
four,four,39,0034
four.taml,four.taml,40,
five,five,41,0035
five.taml,five.taml,42,
six,six,43,0036
six.taml,six.taml,44,
seven,seven,45,0037
seven.taml,seven.taml,46,
eight,eight,47,0038
eight.taml,eight.taml,48,
nine,nine,49,0039
nine.taml,nine.taml,50,
colon,colon,51,003A
colon.taml,colon.taml,52,
semicolon,semicolon,53,003B
semicolon.taml,semicolon.taml,54,
less,less,55,003C
less.taml,less.taml,56,
equal,equal,57,003D
equal.taml,equal.taml,58,
greater,greater,59,003E
greater.taml,greater.taml,60,
question,question,61,003F
question.taml,question.taml,62,
at,at,63,0040
A,A,64,0041
B,B,65,0042
C,C,66,0043
D,D,67,0044
E,E,68,0045
F,F,69,0046
G,G,70,0047
H,H,71,0048
I,I,72,0049
J,J,73,004A
K,K,74,004B
L,L,75,004C
M,M,76,004D
N,N,77,004E
O,O,78,004F
P,P,79,0050
Q,Q,80,0051
R,R,81,0052
S,S,82,0053
T,T,83,0054
U,U,84,0055
V,V,85,0056
W,W,86,0057
X,X,87,0058
Y,Y,88,0059
Z,Z,89,005A
bracketleft,bracketleft,90,005B
backslash,backslash,91,005C
bracketright,bracketright,92,005D
asciicircum,asciicircum,93,005E
underscore,underscore,94,005F
grave,grave,95,0060
a,a,96,0061
b,b,97,0062
c,c,98,0063
d,d,99,0064
e,e,100,0065
f,f,101,0066
g,g,102,0067
h,h,103,0068
i,i,104,0069
j,j,105,006A
k,k,106,006B
l,l,107,006C
m,m,108,006D
n,n,109,006E
o,o,110,006F
p,p,111,0070
q,q,112,0071
r,r,113,0072
s,s,114,0073
t,t,115,0074
u,u,116,0075
v,v,117,0076
w,w,118,0077
x,x,119,0078
y,y,120,0079
z,z,121,007A
braceleft,braceleft,122,007B
bar,bar,123,007C
braceright,braceright,124,007D
asciitilde,asciitilde,125,007E
nbsp,uni00A0,126,00A0
exclamdown,exclamdown,127,00A1
cent,cent,128,00A2
sterling,sterling,129,00A3
currency,currency,130,00A4
yen,yen,131,00A5
brokenbar,brokenbar,132,00A6
section,section,133,00A7
dieresis,dieresis,134,00A8
copyright,copyright,135,00A9
ordfeminine,ordfeminine,136,00AA
guillemotleft,guillemotleft,137,00AB
logicalnot,logicalnot,138,00AC
softhyphen,uni00AD,139,00AD
registered,registered,140,00AE
macron,macron,141,00AF
degree,degree,142,00B0
plusminus,plusminus,143,00B1
SupTwo,uni00B2,144,00B2
SupThree,uni00B3,145,00B3
acute,acute,146,00B4
mu,mu,147,00B5
paragraph,paragraph,148,00B6
periodcentered,periodcentered,149,00B7
cedilla,cedilla,150,00B8
SupOne,uni00B9,151,00B9
ordmasculine,ordmasculine,152,00BA
guillemotright,guillemotright,153,00BB
onequarter,onequarter,154,00BC
onehalf,onehalf,155,00BD
threequarters,threequarters,156,00BE
questiondown,questiondown,157,00BF
Agrave,Agrave,158,00C0
Aacute,Aacute,159,00C1
Acircumflex,Acircumflex,160,00C2
Atilde,Atilde,161,00C3
Adieresis,Adieresis,162,00C4
Aring,Aring,163,00C5
AE,AE,164,00C6
Ccedilla,Ccedilla,165,00C7
Egrave,Egrave,166,00C8
Eacute,Eacute,167,00C9
Ecircumflex,Ecircumflex,168,00CA
Edieresis,Edieresis,169,00CB
Igrave,Igrave,170,00CC
Iacute,Iacute,171,00CD
Icircumflex,Icircumflex,172,00CE
Idieresis,Idieresis,173,00CF
Eth,Eth,174,00D0
Ntilde,Ntilde,175,00D1
Ograve,Ograve,176,00D2
Oacute,Oacute,177,00D3
Ocircumflex,Ocircumflex,178,00D4
Otilde,Otilde,179,00D5
Odieresis,Odieresis,180,00D6
multiply,multiply,181,00D7
Oslash,Oslash,182,00D8
Ugrave,Ugrave,183,00D9
Uacute,Uacute,184,00DA
Ucircumflex,Ucircumflex,185,00DB
Udieresis,Udieresis,186,00DC
Yacute,Yacute,187,00DD
Thorn,Thorn,188,00DE
germandbls,germandbls,189,00DF
agrave,agrave,190,00E0
aacute,aacute,191,00E1
acircumflex,acircumflex,192,00E2
atilde,atilde,193,00E3
adieresis,adieresis,194,00E4
aring,aring,195,00E5
ae,ae,196,00E6
ccedilla,ccedilla,197,00E7
egrave,egrave,198,00E8
eacute,eacute,199,00E9
ecircumflex,ecircumflex,200,00EA
edieresis,edieresis,201,00EB
igrave,igrave,202,00EC
iacute,iacute,203,00ED
icircumflex,icircumflex,204,00EE
idieresis,idieresis,205,00EF
eth,eth,206,00F0
ntilde,ntilde,207,00F1
ograve,ograve,208,00F2
oacute,oacute,209,00F3
ocircumflex,ocircumflex,210,00F4
otilde,otilde,211,00F5
odieresis,odieresis,212,00F6
divide,divide,213,00F7
oslash,oslash,214,00F8
ugrave,ugrave,215,00F9
uacute,uacute,216,00FA
ucircumflex,ucircumflex,217,00FB
udieresis,udieresis,218,00FC
yacute,yacute,219,00FD
thorn,thorn,220,00FE
ydieresis,ydieresis,221,00FF
dotlessi,dotlessi,222,0131
OE,OE,223,0152
oe,oe,224,0153
Scaron,Scaron,225,0160
scaron,scaron,226,0161
Ydieresis,Ydieresis,227,0178
Zcaron,Zcaron,228,017D
zcaron,zcaron,229,017E
florin,florin,230,0192
LtnSmGlottalStop,uni0242,231,0242
LtnGlottalStop,uni0294,232,0294
apostrophemod,uni02BC,233,02BC
ModGlottalStop,uni02C0,234,02C0
circumflex,circumflex,235,02C6
caron,caron,236,02C7
colontriangularmod,uni02D0,237,02D0
breve,breve,238,02D8
dotaccent,dotaccent,239,02D9
ring,ring,240,02DA
ogonek,ogonek,241,02DB
tilde,tilde,242,02DC
hungarumlaut,hungarumlaut,243,02DD
CombCaron,uni030C,244,030C
CombCircumBlw,uni032D,245,032D
cgj,uni034F,246,034F
GrCapOmega,uni03A9,247,03A9
pi,pi,248,03C0
udatta,uni0951,249,0951
anudatta,uni0952,250,0952
gravedeva,uni0953,251,0953
acutedeva,uni0954,252,0954
danda,uni0964,253,0964
dandadbl,uni0965,254,0965
anusvara,uni0B82,255,0B82
visarga,uni0B83,256,0B83
visarga.alt,uni0B83.alt,257,
avowel,uni0B85,258,0B85
aavowel,uni0B86,259,0B86
ivowel,uni0B87,260,0B87
iivowel,uni0B88,261,0B88
uvowel,uni0B89,262,0B89
uuvowel,uni0B8A,263,0B8A
